Name,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
HeroPlayerAttributeSet.PlayerMovementSpeed,300,0,10000,,TRUE
HeroPlayerAttributeSet.PlayerMovementMultiplier,1,1,10,,TRUE
HeroPlayerAttributeSet.PlayerJumpHeight,600,0,2000,,TRUE
HeroPlayerAttributeSet.PlayerJumpHeightMultiplier,1,0,10,,TRUE
HeroPlayerAttributeSet.PlayerAirControl,1,0,1,,TRUE
HeroPlayerAttributeSet.MaxHealth,100,0,1000,,TRUE
HeroPlayerAttributeSet.HeroLevel,1,1,100,,TRUE
HeroPlayerAttributeSet.HeroMaxLevel,100,1,100,,TRUE
HeroPlayerAttributeSet.HealthRegeneration,1,0,100,,TRUE
HeroPlayerAttributeSet.HealthRegenerationActivationDelay,1.5,0.01,10,,TRUE
HeroPlayerAttributeSet.ManaRegeneration,1,0,100,,TRUE
HeroPlayerAttributeSet.ManaRegenerationActivationDelay,1.5,0.01,10,,TRUE
HeroPlayerAttributeSet.MaxMana,100,0,100,,TRUE
